SystemB,1694548828602,74,15,371182829,Normal,35.19:-90.04,8167639915599644302
SystemB,1694548828678,97,10,1390372503,Normal,38.64:-90.18,8167639915599644302
SystemB,1694548828678,93,31,160405074,Normal,37.03:-94.58,8167639915599644302
SystemB,1694548828679,88,24,1198242881,Normal,38.65:-90.2,8167639915599644302
SystemB,1694548828680,92,11,987179512,Normal,38.65:-90.2,8167639915599644302
SystemB,1694548828680,73,23,1090292248,Normal,40.7:-89.52,8167639915599644302
SystemB,1694548828681,70,18,1565885487,Normal,39.78:-89.66,8167639915599644302
SystemB,1694548828681,54,26,1325712174,Normal,38.64:-90.18,8167639915599644302
SystemB,1694548828681,78,16,160779139,Normal,40.86:-89.91,8167639915599644302
SystemB,1694548828705,97,10,1390372503,Normal,38.58:-90.34,8167639915599644302
SystemB,1694548828707,70,18,1565885487,Normal,39.77:-89.78,8167639915599644302
SystemB,1694548828725,54,26,1325712174,Normal,38.58:-90.34,8167639915599644302
SystemB,1694548828735,93,31,160405074,Normal,37.16:-94.46,8167639915599644302
SystemB,1694548828745,92,11,987179512,Normal,39.1:-89.74,8167639915599644302
SystemB,1694548828745,74,15,371182829,Normal,35.21:-90.37,8167639915599644302
SystemB,1694548828755,73,23,1090292248,Normal,40.86:-89.91,8167639915599644302
SystemB,1694548828765,88,24,1198242881,Normal,39.1:-89.74,8167639915599644302
SystemB,1694548829545,78,16,160779139,Normal,40.96:-90.29,8167639915599644302
SystemB,1694548829556,93,31,160405074,Normal,37.31:-94.31,8167639915599644302
SystemB,1694548829566,92,11,987179512,Normal,39.84:-89.63,8167639915599644302
SystemB,1694548829575,54,26,1325712174,Normal,38.51:-90.53,8167639915599644302
SystemB,1694548829586,74,15,371182829,Normal,35.12:-90.68,8167639915599644302
SystemB,1694548829587,97,10,1390372503,Normal,38.51:-90.53,8167639915599644302
SystemB,1694548829595,70,18,1565885487,Normal,39.74:-89.96,8167639915599644302
SystemB,1694548829655,88,24,1198242881,Normal,39.84:-89.63,8167639915599644302
SystemB,1694548829754,73,23,1090292248,Normal,40.96:-90.29,8167639915599644302
SystemB,1694548830384,92,11,987179512,Normal,40.38:-89.17,8167639915599644302
SystemB,1694548830424,70,18,1565885487,Normal,39.76:-90.14,8167639915599644302
SystemB,1694548830435,93,31,160405074,Normal,37.66:-94.3,8167639915599644302
SystemB,1694548830445,74,15,371182829,Normal,35.03:-90.94,8167639915599644302
SystemB,1694548830445,97,10,1390372503,Normal,38.5:-90.69,8167639915599644302
SystemB,1694548830527,78,16,160779139,Normal,41.54:-90.44,8167639915599644302
SystemB,1694548830527,88,24,1198242881,Normal,40.38:-89.17,8167639915599644302
SystemB,1694548830556,54,26,1325712174,Normal,38.5:-90.69,8167639915599644302
SystemB,1694548830624,73,23,1090292248,Normal,41.54:-90.44,8167639915599644302
